a babucha,43907
24/7,1041293
a babuchas,14636
a barrisco,2336
a bocajarro,999659
a borbollones,979510
a borbotones,979509
a buen recaudo,933219
a buen seguro,933220
a caballito,937365
a cada rato,871362
a campo traviesa,980072
a capa y espada,1019802
a capela,11809
a cara de perro,161866
a cara perro,161867
a cascoporro,16718
a cheque,29907
a cholón,16717
a ciencia cierta,11908
a como dé lugar,1036644
a continuación,163066
a contralecho,863930
a contramano,1027618
a contrapelo,103621
a contrario sensu,58390
a contrarreloj,1044835
a costillas,996725
a cucucho,983742
a cuenta de oreja de cochino,1036260
a cuestas,996727
a destajo,118835
a deshora,928629
a destiempo,983739
a dos manos,910136
a dó,901524
a escondidas,103116
a escote,66464
a escuso,996100
a fuerzas,983197
a gamba,14887
a grandes jornadas,910989
a grandes rasgos,993655
a granel,99029
a horcajadas,1011367
a huevo,42111
a humo de pajas,62019
a jornal,1002955
a juro,972326
a la buena de Dios,169188
a la calladita,1002210
a la charamandusca,46246
a la cochiguagua,1012950
a la deriva,77425
a la fija,14359
a la fuerza,1002984
a la guacaresca,109965
a la gurda,22012
a la luna de Paita,158967
a la machimberra,930719
a la mano de Dios,910135
a la marinesca,127500
a la mierda,1040264
a la postre,998564
a la remanguillé,1038485
a la sirga,116161
a la sombra,994334
a la sordina,992937
a la vera,1005608
a la vez,991147
a la zumba marumba,974807
a largas jornadas,910990
a libro abierto,59425
a lo arrecho,978400
a lo bestia,935989
a lo bruto,871991
a lo grande,999129
a lo loco,977181
a lo mejor,160013
a lo que te truje, Chencha,970452
a los coñazos,995432
a lápiz,9449
a látere,928460
a man salva,910165
a mano,910138
a mano abierta,910157
a mano airada,910486
a mano alzada,910487
a mano armada,910159
a mano limpia,910160
a mano salva,910161
a manos abiertas,910488
a manos llenas,910164
a mansalva,180548
a mares,992803
a mata caballo,135720
a matacaballo,135719
a mayores,925717
a media voz,992511
a medio,31598
a medio morir saltando,42828
a menudo,38712
a merced de,571526
a muerte o a vida,912495
a más no poder,25449
a ojo,6866
a ojo de buen cubero,2496
a ojímetro,2508
a pachas,972214
a palo seco,2494
a palos,103190
a partir de,1015107
a pelo,11728
a pie,162553
a pie juntillas,112166
a pierna suelta,47456
a pies juntillas,1012085
a poder ser,25450
a porfía,1006353
a posteriori,11810
a poto pelado,172410
a precio de gallina flaca,1002442
a priori,19857
a propósito,168953
a propósito de escopeta,107344
a puerta fría,103170
a pulmón,1033940
a punta de,979278
a quemarropa,49547
a recaudo,943380
a regañadientes,164356
a renglón seguido,996949
a sabiendas,53868
a salto de mata,118483
a salva mano,910167
a salvo,992961
a secas,992821
a sentadillas,125907
a simple vista,28322
a tiempo,979140
a toda greña,1042174
a toda hostia,1009028
a toda leche,1009027
a toda mecha,1006198
a todo pulmón,980563
a todo reventar,65793
a todo tren,21519
a tomar por culo,163956
a trancas y barrancas,958683
a trasmano,1044207
a través,166462
a través de,1011815
a tres dobles y un repique,158858
a tresbolillo,60512
a tropezones,962505
a tutiplén,115284
a una mano,910168
a veces,87833
a voces,1040499
